"Year","Rate"
2023,11.267
2022,11.322
2021,11.377
2020,11.433
2019,11.488
2018,11.543
2017,11.724
2016,11.905
2015,12.085
2014,12.266
2013,12.447
2012,12.466
2011,12.485
2010,12.505
2009,12.524
2008,12.543
2007,12.321
2006,12.1
2005,11.878
2004,11.657
2003,11.435
2002,11.645
2001,11.856
2000,12.066
1999,12.277
1998,12.487
1997,12.639
1996,12.791
1995,12.942
1994,13.094
1993,13.246
1992,13.344
1991,13.442
1990,13.541
1989,13.639
1988,13.737
1987,13.55
1986,13.363
1985,13.176
1984,12.989
1983,12.802
1982,12.638
1981,12.474
1980,12.311
1979,12.147
1978,11.983
1977,12.293
1976,12.603
1975,12.913
1974,13.223
1973,13.533
1972,14.21
1971,14.887
1970,15.563
1969,16.24
1968,16.917
1967,17.194
1966,17.47
1965,17.747
1964,18.023
1963,18.3
1962,17.92
1961,17.539
1960,17.159
1959,16.778
1958,16.398
1957,16.147
1956,15.896
1955,15.645
1954,15.394
1953,15.143
1952,14.892
1951,14.641
1950,14.39
